system:index,east,mean,north,south,west,.geo
3_29,75.70719293222051,1933.6046974288322,29.784604010614164,29.724996264460106,75.64598285256905,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.64598285256905,29.724996264460106],[75.70719293222051,29.724996264460106],[75.70719293222051,29.784604010614164],[75.64598285256905,29.784604010614164],[75.64598285256905,29.724996264460106]]]}"
3_32,75.89082317117489,1935.1064543645543,29.784604010614164,29.724996264460106,75.82961309152343,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.82961309152343,29.724996264460106],[75.89082317117489,29.724996264460106],[75.89082317117489,29.784604010614164],[75.82961309152343,29.784604010614164],[75.82961309152343,29.724996264460106]]]}"
3_33,75.95203325082635,1934.9613453757465,29.784604010614164,29.724996264460106,75.89082317117489,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.89082317117489,29.724996264460106],[75.95203325082635,29.724996264460106],[75.95203325082635,29.784604010614164],[75.89082317117489,29.784604010614164],[75.89082317117489,29.724996264460106]]]}"
3_34,76.0132433304778,1933.7076832300813,29.784604010614164,29.724996264460106,75.95203325082635,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.95203325082635,29.724996264460106],[76.0132433304778,29.724996264460106],[76.0132433304778,29.784604010614164],[75.95203325082635,29.784604010614164],[75.95203325082635,29.724996264460106]]]}"
3_35,76.07445341012927,1934.441386116526,29.784604010614164,29.724996264460106,76.0132433304778,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.0132433304778,29.724996264460106],[76.07445341012927,29.724996264460106],[76.07445341012927,29.784604010614164],[76.0132433304778,29.784604010614164],[76.0132433304778,29.724996264460106]]]}"
3_36,76.13566348978073,1934.3053241430887,29.784604010614164,29.724996264460106,76.07445341012927,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.07445341012927,29.724996264460106],[76.13566348978073,29.724996264460106],[76.13566348978073,29.784604010614164],[76.07445341012927,29.784604010614164],[76.07445341012927,29.724996264460106]]]}"
4_19,75.0950921357059,1928.7557211269507,29.84421175676822,29.784604010614164,75.03388205605444,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.03388205605444,29.784604010614164],[75.0950921357059,29.784604010614164],[75.0950921357059,29.84421175676822],[75.03388205605444,29.84421175676822],[75.03388205605444,29.784604010614164]]]}"
4_20,75.15630221535736,1928.102909863153,29.84421175676822,29.784604010614164,75.0950921357059,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.0950921357059,29.784604010614164],[75.15630221535736,29.784604010614164],[75.15630221535736,29.84421175676822],[75.0950921357059,29.84421175676822],[75.0950921357059,29.784604010614164]]]}"
4_21,75.21751229500882,1929.7049629776345,29.84421175676822,29.784604010614164,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.784604010614164],[75.21751229500882,29.784604010614164],[75.21751229500882,29.84421175676822],[75.15630221535736,29.84421175676822],[75.15630221535736,29.784604010614164]]]}"
4_22,75.27872237466028,1930.8816789033892,29.84421175676822,29.784604010614164,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.784604010614164],[75.27872237466028,29.784604010614164],[75.27872237466028,29.84421175676822],[75.21751229500882,29.84421175676822],[75.21751229500882,29.784604010614164]]]}"
4_23,75.33993245431174,1932.3558361652767,29.84421175676822,29.784604010614164,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.784604010614164],[75.33993245431174,29.784604010614164],[75.33993245431174,29.84421175676822],[75.27872237466028,29.84421175676822],[75.27872237466028,29.784604010614164]]]}"
4_24,75.4011425339632,1932.447992957705,29.84421175676822,29.784604010614164,75.33993245431174,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.33993245431174,29.784604010614164],[75.4011425339632,29.784604010614164],[75.4011425339632,29.84421175676822],[75.33993245431174,29.84421175676822],[75.33993245431174,29.784604010614164]]]}"
4_25,75.46235261361466,1932.5567976026944,29.84421175676822,29.784604010614164,75.4011425339632,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.4011425339632,29.784604010614164],[75.46235261361466,29.784604010614164],[75.46235261361466,29.84421175676822],[75.4011425339632,29.84421175676822],[75.4011425339632,29.784604010614164]]]}"
4_26,75.52356269326613,1931.603710542069,29.84421175676822,29.784604010614164,75.46235261361467,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.46235261361467,29.784604010614164],[75.52356269326613,29.784604010614164],[75.52356269326613,29.84421175676822],[75.46235261361467,29.84421175676822],[75.46235261361467,29.784604010614164]]]}"
4_27,75.58477277291759,1932.2013762662114,29.84421175676822,29.784604010614164,75.52356269326613,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.52356269326613,29.784604010614164],[75.58477277291759,29.784604010614164],[75.58477277291759,29.84421175676822],[75.52356269326613,29.84421175676822],[75.52356269326613,29.784604010614164]]]}"
4_28,75.64598285256905,1932.1124954209488,29.84421175676822,29.784604010614164,75.58477277291759,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.58477277291759,29.784604010614164],[75.64598285256905,29.784604010614164],[75.64598285256905,29.84421175676822],[75.58477277291759,29.84421175676822],[75.58477277291759,29.784604010614164]]]}"
4_29,75.70719293222051,1932.12500047615,29.84421175676822,29.784604010614164,75.64598285256905,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.64598285256905,29.784604010614164],[75.70719293222051,29.784604010614164],[75.70719293222051,29.84421175676822],[75.64598285256905,29.84421175676822],[75.64598285256905,29.784604010614164]]]}"
4_30,75.76840301187197,1931.5584898140294,29.84421175676822,29.784604010614164,75.70719293222051,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.70719293222051,29.784604010614164],[75.76840301187197,29.784604010614164],[75.76840301187197,29.84421175676822],[75.70719293222051,29.84421175676822],[75.70719293222051,29.784604010614164]]]}"
4_31,75.82961309152343,1931.5095198323634,29.84421175676822,29.784604010614164,75.76840301187197,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.76840301187197,29.784604010614164],[75.82961309152343,29.784604010614164],[75.82961309152343,29.84421175676822],[75.76840301187197,29.84421175676822],[75.76840301187197,29.784604010614164]]]}"
4_32,75.89082317117489,1932.583713628935,29.84421175676822,29.784604010614164,75.82961309152343,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.82961309152343,29.784604010614164],[75.89082317117489,29.784604010614164],[75.89082317117489,29.84421175676822],[75.82961309152343,29.84421175676822],[75.82961309152343,29.784604010614164]]]}"
4_33,75.95203325082635,1933.0747203350932,29.84421175676822,29.784604010614164,75.89082317117489,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.89082317117489,29.784604010614164],[75.95203325082635,29.784604010614164],[75.95203325082635,29.84421175676822],[75.89082317117489,29.84421175676822],[75.89082317117489,29.784604010614164]]]}"
4_34,76.0132433304778,1933.2166255616908,29.84421175676822,29.784604010614164,75.95203325082635,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.95203325082635,29.784604010614164],[76.0132433304778,29.784604010614164],[76.0132433304778,29.84421175676822],[75.95203325082635,29.84421175676822],[75.95203325082635,29.784604010614164]]]}"
4_35,76.07445341012927,1933.2215292108272,29.84421175676822,29.784604010614164,76.0132433304778,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.0132433304778,29.784604010614164],[76.07445341012927,29.784604010614164],[76.07445341012927,29.84421175676822],[76.0132433304778,29.84421175676822],[76.0132433304778,29.784604010614164]]]}"
4_36,76.13566348978073,1932.5821630332457,29.84421175676822,29.784604010614164,76.07445341012927,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.07445341012927,29.784604010614164],[76.13566348978073,29.784604010614164],[76.13566348978073,29.84421175676822],[76.07445341012927,29.84421175676822],[76.07445341012927,29.784604010614164]]]}"
4_37,76.19687356943219,1932.8513857715811,29.84421175676822,29.784604010614164,76.13566348978073,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.13566348978073,29.784604010614164],[76.19687356943219,29.784604010614164],[76.19687356943219,29.84421175676822],[76.13566348978073,29.84421175676822],[76.13566348978073,29.784604010614164]]]}"
4_38,76.25808364908364,1934.2898505400624,29.84421175676822,29.784604010614164,76.19687356943219,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.19687356943219,29.784604010614164],[76.25808364908364,29.784604010614164],[76.25808364908364,29.84421175676822],[76.19687356943219,29.84421175676822],[76.19687356943219,29.784604010614164]]]}"
5_17,74.97267197640298,1932.8214626836411,29.90381950292228,29.84421175676822,74.91146189675152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.91146189675152,29.84421175676822],[74.97267197640298,29.84421175676822],[74.97267197640298,29.90381950292228],[74.91146189675152,29.90381950292228],[74.91146189675152,29.84421175676822]]]}"
5_18,75.03388205605444,1932.9613997029849,29.90381950292228,29.84421175676822,74.97267197640298,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.97267197640298,29.84421175676822],[75.03388205605444,29.84421175676822],[75.03388205605444,29.90381950292228],[74.97267197640298,29.90381950292228],[74.97267197640298,29.84421175676822]]]}"
5_19,75.0950921357059,1931.0567268664236,29.90381950292228,29.84421175676822,75.03388205605444,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.03388205605444,29.84421175676822],[75.0950921357059,29.84421175676822],[75.0950921357059,29.90381950292228],[75.03388205605444,29.90381950292228],[75.03388205605444,29.84421175676822]]]}"
5_20,75.15630221535736,1930.7793773577707,29.90381950292228,29.84421175676822,75.0950921357059,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.0950921357059,29.84421175676822],[75.15630221535736,29.84421175676822],[75.15630221535736,29.90381950292228],[75.0950921357059,29.90381950292228],[75.0950921357059,29.84421175676822]]]}"
5_21,75.21751229500882,1931.9965570738477,29.90381950292228,29.84421175676822,75.15630221535736,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.15630221535736,29.84421175676822],[75.21751229500882,29.84421175676822],[75.21751229500882,29.90381950292228],[75.15630221535736,29.90381950292228],[75.15630221535736,29.84421175676822]]]}"
5_22,75.27872237466028,1932.902360768856,29.90381950292228,29.84421175676822,75.21751229500882,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.21751229500882,29.84421175676822],[75.27872237466028,29.84421175676822],[75.27872237466028,29.90381950292228],[75.21751229500882,29.90381950292228],[75.21751229500882,29.84421175676822]]]}"
5_23,75.33993245431174,1932.3059347542187,29.90381950292228,29.84421175676822,75.27872237466028,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.27872237466028,29.84421175676822],[75.33993245431174,29.84421175676822],[75.33993245431174,29.90381950292228],[75.27872237466028,29.90381950292228],[75.27872237466028,29.84421175676822]]]}"
5_24,75.4011425339632,1931.8662555267483,29.90381950292228,29.84421175676822,75.33993245431174,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.33993245431174,29.84421175676822],[75.4011425339632,29.84421175676822],[75.4011425339632,29.90381950292228],[75.33993245431174,29.90381950292228],[75.33993245431174,29.84421175676822]]]}"
5_25,75.46235261361466,1932.3781409743242,29.90381950292228,29.84421175676822,75.4011425339632,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.4011425339632,29.84421175676822],[75.46235261361466,29.84421175676822],[75.46235261361466,29.90381950292228],[75.4011425339632,29.90381950292228],[75.4011425339632,29.84421175676822]]]}"
5_26,75.52356269326613,1932.232093831578,29.90381950292228,29.84421175676822,75.46235261361467,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.46235261361467,29.84421175676822],[75.52356269326613,29.84421175676822],[75.52356269326613,29.90381950292228],[75.46235261361467,29.90381950292228],[75.46235261361467,29.84421175676822]]]}"
5_27,75.58477277291759,1932.7171466137354,29.90381950292228,29.84421175676822,75.52356269326613,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.52356269326613,29.84421175676822],[75.58477277291759,29.84421175676822],[75.58477277291759,29.90381950292228],[75.52356269326613,29.90381950292228],[75.52356269326613,29.84421175676822]]]}"
5_28,75.64598285256905,1933.3150264829803,29.90381950292228,29.84421175676822,75.58477277291759,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.58477277291759,29.84421175676822],[75.64598285256905,29.84421175676822],[75.64598285256905,29.90381950292228],[75.58477277291759,29.90381950292228],[75.58477277291759,29.84421175676822]]]}"
5_29,75.70719293222051,1932.4158364974794,29.90381950292228,29.84421175676822,75.64598285256905,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.64598285256905,29.84421175676822],[75.70719293222051,29.84421175676822],[75.70719293222051,29.90381950292228],[75.64598285256905,29.90381950292228],[75.64598285256905,29.84421175676822]]]}"
5_30,75.76840301187197,1931.9538337880256,29.90381950292228,29.84421175676822,75.70719293222051,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.70719293222051,29.84421175676822],[75.76840301187197,29.84421175676822],[75.76840301187197,29.90381950292228],[75.70719293222051,29.90381950292228],[75.70719293222051,29.84421175676822]]]}"
5_31,75.82961309152343,1931.841239479291,29.90381950292228,29.84421175676822,75.76840301187197,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.76840301187197,29.84421175676822],[75.82961309152343,29.84421175676822],[75.82961309152343,29.90381950292228],[75.76840301187197,29.90381950292228],[75.76840301187197,29.84421175676822]]]}"
5_32,75.89082317117489,1934.1268228175459,29.90381950292228,29.84421175676822,75.82961309152343,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.82961309152343,29.84421175676822],[75.89082317117489,29.84421175676822],[75.89082317117489,29.90381950292228],[75.82961309152343,29.90381950292228],[75.82961309152343,29.84421175676822]]]}"
5_33,75.95203325082635,1934.3989612539128,29.90381950292228,29.84421175676822,75.89082317117489,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.89082317117489,29.84421175676822],[75.95203325082635,29.84421175676822],[75.95203325082635,29.90381950292228],[75.89082317117489,29.90381950292228],[75.89082317117489,29.84421175676822]]]}"
5_34,76.0132433304778,1934.957063403078,29.90381950292228,29.84421175676822,75.95203325082635,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[75.95203325082635,29.84421175676822],[76.0132433304778,29.84421175676822],[76.0132433304778,29.90381950292228],[75.95203325082635,29.90381950292228],[75.95203325082635,29.84421175676822]]]}"
5_35,76.07445341012927,1934.8912787832605,29.90381950292228,29.84421175676822,76.0132433304778,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.0132433304778,29.84421175676822],[76.07445341012927,29.84421175676822],[76.07445341012927,29.90381950292228],[76.0132433304778,29.90381950292228],[76.0132433304778,29.84421175676822]]]}"
5_36,76.13566348978073,1932.391330954567,29.90381950292228,29.84421175676822,76.07445341012927,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.07445341012927,29.84421175676822],[76.13566348978073,29.84421175676822],[76.13566348978073,29.90381950292228],[76.07445341012927,29.90381950292228],[76.07445341012927,29.84421175676822]]]}"
5_37,76.19687356943219,1932.3347855253444,29.90381950292228,29.84421175676822,76.13566348978073,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.13566348978073,29.84421175676822],[76.19687356943219,29.84421175676822],[76.19687356943219,29.90381950292228],[76.13566348978073,29.90381950292228],[76.13566348978073,29.84421175676822]]]}"
5_38,76.25808364908364,1933.675041311473,29.90381950292228,29.84421175676822,76.19687356943219,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.19687356943219,29.84421175676822],[76.25808364908364,29.84421175676822],[76.25808364908364,29.90381950292228],[76.19687356943219,29.90381950292228],[76.19687356943219,29.84421175676822]]]}"
6_4,74.17694094093399,1934.137034555674,29.963427249076336,29.90381950292228,74.11573086128253,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.11573086128253,29.90381950292228],[74.17694094093399,29.90381950292228],[74.17694094093399,29.963427249076336],[74.11573086128253,29.963427249076336],[74.11573086128253,29.90381950292228]]]}"
