system:index,east,max,mean,min,north,south,stdDev,west,.geo
13_45,76.68655420664388,1933.8663522195764,1933.4546564872403,1932.0455455390024,30.380681472154745,30.321073726000687,0.5621864959604636,76.62534412699242,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.62534412699242,30.321073726000687],[76.68655420664388,30.321073726000687],[76.68655420664388,30.380681472154745],[76.62534412699242,30.380681472154745],[76.62534412699242,30.321073726000687]]]}"
13_46,76.74776428629534,1933.119287104431,1932.8890823602055,1932.555313494897,30.380681472154745,30.321073726000687,0.22832503685089464,76.68655420664388,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.68655420664388,30.321073726000687],[76.74776428629534,30.321073726000687],[76.74776428629534,30.380681472154745],[76.68655420664388,30.380681472154745],[76.68655420664388,30.321073726000687]]]}"
13_49,76.93139452524971,1935.5742592172735,1935.0358874902424,1934.6317473469348,30.380681472154745,30.321073726000687,0.4301710940396853,76.87018444559826,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[76.87018444559826,30.321073726000687],[76.93139452524971,30.321073726000687],[76.93139452524971,30.380681472154745],[76.87018444559826,30.380681472154745],[76.87018444559826,30.321073726000687]]]}"
14_0,73.93210062232815,1940.9195492992626,1939.4639966388486,1935.811784084032,30.440289218308802,30.380681472154745,1.7097246376041928,73.87089054267669,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[73.87089054267669,30.380681472154745],[73.93210062232815,30.380681472154745],[73.93210062232815,30.440289218308802],[73.87089054267669,30.440289218308802],[73.87089054267669,30.380681472154745]]]}"
14_1,73.99331070197961,1938.6790789891818,1937.0813613555451,1935.811784084032,30.440289218308802,30.380681472154745,1.1129904206096308,73.93210062232815,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[73.93210062232815,30.380681472154745],[73.99331070197961,30.380681472154745],[73.99331070197961,30.440289218308802],[73.93210062232815,30.440289218308802],[73.93210062232815,30.380681472154745]]]}"
14_2,74.05452078163107,1936.3561665409838,1935.9254100166831,1935.2082646675922,30.440289218308802,30.380681472154745,0.4578205353069149,73.99331070197961,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[73.99331070197961,30.380681472154745],[74.05452078163107,30.380681472154745],[74.05452078163107,30.440289218308802],[73.99331070197961,30.440289218308802],[73.99331070197961,30.380681472154745]]]}"
14_3,74.11573086128253,1935.907193919018,1934.8924605510404,1934.1185586735915,30.440289218308802,30.380681472154745,0.5442771658384515,74.05452078163107,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.05452078163107,30.380681472154745],[74.11573086128253,30.380681472154745],[74.11573086128253,30.440289218308802],[74.05452078163107,30.440289218308802],[74.05452078163107,30.380681472154745]]]}"
14_4,74.17694094093399,1934.7895950727561,1934.4352490188924,1934.1185586735915,30.440289218308802,30.380681472154745,0.24520297752877415,74.11573086128253,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.11573086128253,30.380681472154745],[74.17694094093399,30.380681472154745],[74.17694094093399,30.440289218308802],[74.11573086128253,30.440289218308802],[74.11573086128253,30.380681472154745]]]}"
14_5,74.23815102058545,1934.3809903578292,1934.0990048685758,1933.6025358202664,30.440289218308802,30.380681472154745,0.3211401932198465,74.17694094093399,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.17694094093399,30.380681472154745],[74.23815102058545,30.380681472154745],[74.23815102058545,30.440289218308802],[74.17694094093399,30.440289218308802],[74.17694094093399,30.380681472154745]]]}"
14_6,74.29936110023691,1936.1220662265866,1934.9069304019308,1933.6025358202664,30.440289218308802,30.380681472154745,0.8941337602545433,74.23815102058545,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.23815102058545,30.380681472154745],[74.29936110023691,30.380681472154745],[74.29936110023691,30.440289218308802],[74.23815102058545,30.440289218308802],[74.23815102058545,30.380681472154745]]]}"
14_7,74.36057117988837,1937.3815473845393,1936.4753350849721,1935.9145940524904,30.440289218308802,30.380681472154745,0.5882630796115,74.29936110023691,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.29936110023691,30.380681472154745],[74.36057117988837,30.380681472154745],[74.36057117988837,30.440289218308802],[74.29936110023691,30.440289218308802],[74.29936110023691,30.380681472154745]]]}"
14_8,74.42178125953983,1937.3815473845393,1935.6890752555698,1934.3408784010887,30.440289218308802,30.380681472154745,1.1890908611182363,74.36057117988837,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[74.36057117988837,30.380681472154745],[74.42178125953983,30.380681472154745],[74.42178125953983,30.440289218308802],[74.36057117988837,30.440289218308802],[74.36057117988837,30.380681472154745]]]}"
